"seed","file","fdr_col","threshold","target_pass","target_total","decoy_pass","decoy_total"
1,"drep_tcell100p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
1,"tcell0pt3p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
1,"tcell10p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,27,132,0,0
1,"tcell1p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
1,"tcell30p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,57,132,0,0
1,"tcell3p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,7,132,0,0
1,"drep_tcell100p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
1,"tcell0pt3p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,43,132,0,0
1,"tcell10p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,69,132,0,0
1,"tcell1p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,26,132,0,0
1,"tcell30p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,97,132,0,0
1,"tcell3p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,52,132,0,0
2,"drep_tcell100p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
2,"tcell0pt3p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
2,"tcell10p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,27,132,0,0
2,"tcell1p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
2,"tcell30p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,55,132,0,0
2,"tcell3p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,7,132,0,0
2,"drep_tcell100p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
2,"tcell0pt3p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,31,132,0,0
2,"tcell10p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,71,132,0,0
2,"tcell1p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,15,132,0,0
2,"tcell30p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,97,132,0,0
2,"tcell3p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,50,132,0,0
3,"drep_tcell100p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
3,"tcell0pt3p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
3,"tcell10p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,29,132,0,0
3,"tcell1p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
3,"tcell30p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,53,132,0,0
3,"tcell3p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,2,132,0,0
3,"drep_tcell100p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
3,"tcell0pt3p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,36,132,0,0
3,"tcell10p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,71,132,0,0
3,"tcell1p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,12,132,0,0
3,"tcell30p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,96,132,0,0
3,"tcell3p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,45,132,0,0
4,"drep_tcell100p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
4,"tcell0pt3p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
4,"tcell10p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,26,132,0,0
4,"tcell1p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
4,"tcell30p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,55,132,0,0
4,"tcell3p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,6,132,0,0
4,"drep_tcell100p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
4,"tcell0pt3p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,32,132,0,0
4,"tcell10p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,67,132,0,0
4,"tcell1p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,25,132,0,0
4,"tcell30p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,97,132,0,0
4,"tcell3p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,50,132,0,0
5,"drep_tcell100p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
5,"tcell0pt3p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
5,"tcell10p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,28,132,0,0
5,"tcell1p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
5,"tcell30p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,54,132,0,0
5,"tcell3p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,6,132,0,0
5,"drep_tcell100p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
5,"tcell0pt3p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,30,132,0,0
5,"tcell10p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,73,132,0,0
5,"tcell1p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,24,132,0,0
5,"tcell30p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,95,132,0,0
5,"tcell3p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,49,132,0,0
6,"drep_tcell100p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
6,"tcell0pt3p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
6,"tcell10p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,27,132,0,0
6,"tcell1p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,0,132,0,0
6,"tcell30p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,55,132,0,0
6,"tcell3p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,7,132,0,0
6,"drep_tcell100p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
6,"tcell0pt3p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,30,132,0,0
6,"tcell10p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,72,132,0,0
6,"tcell1p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,9,132,0,0
6,"tcell30p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,97,132,0,0
6,"tcell3p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,50,132,0,0
7,"drep_tcell100p_scored_target_seed7_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
